parameter,total_hits_guidelines
STARTDATE,3
STARTMODE,1
STARTPGID,1
STARTTIME,3
START_DATE,1
START_DT,1
START_TM,1
STATISTICS_ALERT,1
STATISTICS_DAYS,1
STATXT,1
STATYP,1
STAT_DATE,1
STAT_TIME,1
STD,1
STDAT,1
STDMES,1
STDVRS,1
STEPCOUNT,1
STEXT,1
STOFF,1
STORNO,1
STPRS_DIFF,1
STPRS_DIFF_PERCT,1
STPRS_NEW,1
STPRS_OLD,1
STRTDATE,1
STRTTIME,1
STUNR,1
SUBJECT,1
SUBNO,1
SUBTYPE,2
SWAP_CONF,1
SWAP_FREE,1
SWAP_FREE_PRC,1
SWAP_MAX,1
SWAP_SIZE,1
SWAP_USAGE,1
SYDATE,1
SYS,1
SYSC_SEC,1
SYS_TOTAL,1
SYTIME,1
T100_MSGID,1
T100_MSGNO,1
TABLEN,1
TASKTYPE,1
TCODE2_MKPF,1
TDARMOD,1
TDAUTORITY,1
TDCOVTITLE,1
TDDIVISION,1
TDID,1
TDNAME,1
TDOCOVER,1
TDRECEIVER,1
TDSCHEDULE,1
TDSPRAS,1
TELFX,1
TELTX,1
TELX1,1
TEMPB,1
TERMINAL_ID,1
TEST,1
TEXTENTS,1
TFREE,1
THRESHOLDABS,1
THRESHOLDPERC,1
TIME,1
TIMESTAMP,1
TIM_STMP,1
TITEL,1
TLAND,1
TODATE,1
TONUMBER_DEC,1
TOT_CNT,1
TOT_NETWR,1
TOT_PO_VAL,1
TOT_PREQ_VAL,1
TPCTUSED,1
TRAGR,1
TRANSACTION_ID,1
TRANSCNT,1
TRANSCNTD,1
TRANSCNTE,1
TRANSCNTF,1
TRFUNC,1
TRN_BY,3
TRN_EX,3
TSAU,1
TSAUPCT,1
TSEGMENTS,1
TSIZE,1
TTEXT,4
TVAL,1
TWAER,1
TXTSHORT,1
UEPOS,1
UHRVR,1
UMBAR,1
UMBEW,1
UMCHA,1
UMLGO,1
UMMAT,1
UMSOK,1
UMWRK,1
UMXXU_CMP,1
UMXXU_TGT,1
UMZST,1
UMZUS,1
UNTPER,1
UP2_CNT,1
UP2_FREE_CNT,1
UP2_INUSE_CNT,1
UPD_CNT,1
UPD_FREE_CNT,1
UPD_INUSE_CNT,1
